DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Working_Population,Interest_Rate,Construction Price,New_House_Supply,CPI,Urban,Subsidies,median_income,Total_Households
2000-01-01,100.551,2000.0,1.0,49335.0,178203100.0,5.45,144.1,4.3,169.3,79.057,19.69,67470.0,104705
2000-02-01,101.339,2000.0,2.0,49593.0,178283700.0,5.73,144.7,4.3,170.0,79.057,19.69,67470.0,104705
2000-03-01,102.127,2000.0,3.0,49851.0,178367000.0,5.85,145.4,4.3,171.0,79.057,19.69,67470.0,104705
2000-04-01,102.922,2000.0,4.0,50109.0,178534500.0,6.02,145.6,4.4,170.9,79.057,19.69,67470.0,104705
2000-05-01,103.677,2000.0,5.0,50080.666666666664,178771600.0,6.27,144.9,4.4,171.2,79.057,19.69,67470.0,104705
2000-06-01,104.424,2000.0,6.0,50052.333333333336,179073800.0,6.53,145.0,4.8,172.2,79.057,19.69,67470.0,104705
2000-07-01,105.054,2000.0,7.0,50024.0,179373400.0,6.54,144.4,4.1,172.7,79.057,19.69,67470.0,104705
2000-08-01,105.768,2000.0,8.0,50079.333333333336,179447100.0,6.5,143.7,4.4,172.7,79.057,19.69,67470.0,104705
2000-09-01,106.538,2000.0,9.0,50134.666666666664,179619600.0,6.52,143.4,4.0,173.6,79.057,19.69,67470.0,104705
2000-10-01,107.382,2000.0,10.0,50190.0,179814300.0,6.51,143.3,4.0,173.9,79.057,19.69,67470.0,104705
2000-11-01,108.302,2000.0,11.0,50097.0,179924900.0,6.51,142.7,4.2,174.2,79.057,19.69,67470.0,104705
2000-12-01,109.142,2000.0,12.0,50004.0,180061800.0,6.4,142.5,3.6,174.6,79.057,19.69,67470.0,104705
2001-01-01,109.846,2001.0,1.0,49911.0,180348200.0,5.98,142.0,3.8,175.6,79.234,20.573,66360.0,108209
2001-02-01,110.501,2001.0,2.0,49975.666666666664,180505900.0,5.49,142.4,3.7,176.0,79.234,20.573,66360.0,108209
2001-03-01,111.108,2001.0,3.0,50040.333333333336,180595600.0,5.31,142.4,3.8,176.1,79.234,20.573,66360.0,108209
2001-04-01,111.652,2001.0,4.0,50105.0,180851800.0,4.8,142.5,3.9,176.4,79.234,20.573,66360.0,108209
2001-05-01,112.164,2001.0,5.0,49994.666666666664,181013500.0,4.21,144.2,4.0,177.3,79.234,20.573,66360.0,108209
2001-06-01,112.797,2001.0,6.0,49884.333333333336,181357900.0,3.97,144.3,4.2,177.7,79.234,20.573,66360.0,108209
2001-07-01,113.491,2001.0,7.0,49774.0,181603400.0,3.77,143.4,4.2,177.4,79.234,20.573,66360.0,108209
2001-08-01,114.167,2001.0,8.0,49777.0,181867800.0,3.65,143.3,4.4,177.4,79.234,20.573,66360.0,108209
2001-09-01,114.812,2001.0,9.0,49780.0,181987100.0,3.07,143.0,4.4,178.1,79.234,20.573,66360.0,108209
2001-10-01,115.31,2001.0,10.0,49783.0,182252800.0,2.49,142.3,4.3,177.6,79.234,20.573,66360.0,108209
2001-11-01,115.857,2001.0,11.0,49885.666666666664,182520400.0,2.09,142.1,4.1,177.5,79.234,20.573,66360.0,108209
2001-12-01,116.455,2001.0,12.0,49988.333333333336,182717500.0,1.82,141.7,3.8,177.4,79.234,20.573,66360.0,108209
2002-01-01,117.143,2002.0,1.0,50091.0,182669900.0,1.73,142.0,4.2,177.7,79.409,24.183,65820.0,109297
2002-02-01,117.844,2002.0,2.0,50156.0,182822700.0,1.74,142.2,4.0,178.0,79.409,24.183,65820.0,109297
2002-03-01,118.687,2002.0,3.0,50221.0,183078000.0,1.73,143.2,4.1,178.5,79.409,24.183,65820.0,109297
2002-04-01,119.611,2002.0,4.0,50286.0,183316800.0,1.75,143.5,4.3,179.3,79.409,24.183,65820.0,109297
2002-05-01,120.724,2002.0,5.0,50311.333333333336,183463400.0,1.75,143.8,4.0,179.5,79.409,24.183,65820.0,109297
2002-06-01,121.813,2002.0,6.0,50336.666666666664,183670900.0,1.75,144.3,4.2,179.6,79.409,24.183,65820.0,109297
2002-07-01,122.888,2002.0,7.0,50362.0,183872500.0,1.73,144.7,4.2,180.0,79.409,24.183,65820.0,109297
2002-08-01,123.831,2002.0,8.0,50342.0,184128100.0,1.74,145.1,4.0,180.5,79.409,24.183,65820.0,109297
2002-09-01,124.78,2002.0,9.0,50322.0,184246700.0,1.75,145.4,3.9,180.8,79.409,24.183,65820.0,109297
2002-10-01,125.735,2002.0,10.0,50302.0,184458700.0,1.75,145.0,4.0,181.2,79.409,24.183,65820.0,109297
2002-11-01,126.67,2002.0,11.0,50355.333333333336,184790300.0,1.34,144.6,4.0,181.5,79.409,24.183,65820.0,109297
2002-12-01,127.624,2002.0,12.0,50408.666666666664,184908300.0,1.24,144.3,4.0,181.8,79.409,24.183,65820.0,109297
2003-01-01,128.461,2003.0,1.0,50462.0,185658200.0,1.24,144.4,4.0,182.6,79.583,25.93,65860.0,111278
2003-02-01,129.356,2003.0,2.0,50573.333333333336,185827800.0,1.26,145.2,4.5,183.6,79.583,25.93,65860.0,111278
2003-03-01,130.148,2003.0,3.0,50684.666666666664,186120900.0,1.25,145.2,4.1,183.9,79.583,25.93,65860.0,111278
2003-04-01,130.885,2003.0,4.0,50796.0,186476400.0,1.26,145.9,4.1,183.2,79.583,25.93,65860.0,111278
2003-05-01,131.735,2003.0,5.0,51034.666666666664,186699400.0,1.26,145.8,3.9,182.9,79.583,25.93,65860.0,111278
2003-06-01,132.649,2003.0,6.0,51273.333333333336,186892300.0,1.22,146.1,3.5,183.1,79.583,25.93,65860.0,111278
2003-07-01,133.77700000000002,2003.0,7.0,51512.0,187170700.0,1.01,147.0,3.6,183.7,79.583,25.93,65860.0,111278
2003-08-01,134.968,2003.0,8.0,51670.0,187380800.0,1.03,147.2,3.5,184.5,79.583,25.93,65860.0,111278
2003-09-01,136.29399999999998,2003.0,9.0,51828.0,187559600.0,1.01,149.0,3.8,185.1,79.583,25.93,65860.0,111278
2003-10-01,137.532,2003.0,10.0,51986.0,187717800.0,1.01,149.6,3.8,184.9,79.583,25.93,65860.0,111278
2003-11-01,138.795,2003.0,11.0,52050.333333333336,187912400.0,1.0,150.2,4.1,185.0,79.583,25.93,65860.0,111278
2003-12-01,140.18,2003.0,12.0,52114.666666666664,188028000.0,0.98,149.7,4.0,185.5,79.583,25.93,65860.0,111278
2004-01-01,141.64700000000002,2004.0,1.0,52179.0,187567500.0,1.0,150.0,3.8,186.3,79.757,27.201,65760.0,112000
2004-02-01,143.192,2004.0,2.0,52275.666666666664,187830600.0,1.01,153.4,3.7,186.7,79.757,27.201,65760.0,112000
2004-03-01,145.058,2004.0,3.0,52372.333333333336,188108000.0,1.0,156.5,3.6,187.1,79.757,27.201,65760.0,112000
2004-04-01,146.592,2004.0,4.0,52469.0,188336800.0,1.0,160.1,4.0,187.4,79.757,27.201,65760.0,112000
2004-05-01,148.186,2004.0,5.0,52591.0,188539500.0,1.0,162.7,3.8,188.2,79.757,27.201,65760.0,112000
2004-06-01,149.851,2004.0,6.0,52713.0,188690600.0,1.03,162.0,3.9,188.9,79.757,27.201,65760.0,112000
2004-07-01,151.338,2004.0,7.0,52835.0,188782800.0,1.26,162.2,4.5,189.1,79.757,27.201,65760.0,112000
2004-08-01,152.634,2004.0,8.0,52970.666666666664,189029100.0,1.43,165.9,4.3,189.2,79.757,27.201,65760.0,112000
2004-09-01,154.18,2004.0,9.0,53106.333333333336,189281900.0,1.61,167.2,4.1,189.8,79.757,27.201,65760.0,112000
2004-10-01,155.752,2004.0,10.0,53242.0,189471600.0,1.76,165.9,3.9,190.8,79.757,27.201,65760.0,112000
2004-11-01,157.528,2004.0,11.0,53401.0,189647800.0,1.93,165.5,4.3,191.7,79.757,27.201,65760.0,112000
2004-12-01,159.33100000000002,2004.0,12.0,53560.0,189849000.0,2.16,166.3,4.1,191.7,79.757,27.201,65760.0,112000
2005-01-01,161.289,2005.0,1.0,53719.0,190030800.0,2.28,168.6,4.4,191.6,79.928,27.651,66780.0,113343
2005-02-01,163.344,2005.0,2.0,53768.666666666664,190206400.0,2.5,170.4,4.3,192.4,79.928,27.651,66780.0,113343
2005-03-01,165.813,2005.0,3.0,53818.333333333336,190429200.0,2.63,170.0,4.1,193.1,79.928,27.651,66780.0,113343
2005-04-01,167.502,2005.0,4.0,53868.0,190493800.0,2.79,170.0,4.3,193.7,79.928,27.651,66780.0,113343
2005-05-01,169.351,2005.0,5.0,53963.0,190683200.0,3.0,168.1,4.2,193.6,79.928,27.651,66780.0,113343
2005-06-01,171.19099999999997,2005.0,6.0,54058.0,190897800.0,3.04,167.8,4.3,193.7,79.928,27.651,66780.0,113343
2005-07-01,172.86,2005.0,7.0,54153.0,191053200.0,3.26,167.2,4.2,194.9,79.928,27.651,66780.0,113343
2005-08-01,174.442,2005.0,8.0,54207.666666666664,191193200.0,3.5,165.9,4.5,196.1,79.928,27.651,66780.0,113343
2005-09-01,176.437,2005.0,9.0,54262.333333333336,191475400.0,3.62,168.9,4.7,198.8,79.928,27.651,66780.0,113343
2005-10-01,178.02700000000002,2005.0,10.0,54317.0,191700200.0,3.78,171.6,4.5,199.1,79.928,27.651,66780.0,113343
2005-11-01,179.68,2005.0,11.0,54520.333333333336,191993800.0,4.0,172.7,5.0,198.1,79.928,27.651,66780.0,113343
2005-12-01,180.91,2005.0,12.0,54723.666666666664,192185900.0,4.16,173.5,4.9,198.1,79.928,27.651,66780.0,113343
2006-01-01,182.32,2006.0,1.0,54927.0,192324000.0,4.29,177.2,5.3,199.3,80.099,28.604,67520.0,114384
2006-02-01,183.287,2006.0,2.0,54933.0,192512200.0,4.49,177.7,6.1,199.4,80.099,28.604,67520.0,114384
2006-03-01,184.365,2006.0,3.0,54939.0,192619200.0,4.59,178.3,5.9,199.7,80.099,28.604,67520.0,114384
2006-04-01,184.328,2006.0,4.0,54945.0,192790300.0,4.79,179.0,6.3,200.7,80.099,28.604,67520.0,114384
2006-05-01,184.155,2006.0,5.0,54925.333333333336,192948300.0,4.94,179.9,6.2,201.3,80.099,28.604,67520.0,114384
2006-06-01,183.507,2006.0,6.0,54905.666666666664,193183000.0,4.99,180.7,6.3,201.8,80.099,28.604,67520.0,114384
2006-07-01,183.066,2006.0,7.0,54886.0,193410800.0,5.24,182.3,7.3,202.9,80.099,28.604,67520.0,114384
2006-08-01,182.593,2006.0,8.0,54996.0,193525600.0,5.25,182.6,6.7,203.8,80.099,28.604,67520.0,114384
2006-09-01,182.798,2006.0,9.0,55106.0,193585100.0,5.25,183.3,6.7,202.8,80.099,28.604,67520.0,114384
2006-10-01,183.197,2006.0,10.0,55216.0,193711000.0,5.25,182.3,7.3,201.9,80.099,28.604,67520.0,114384
2006-11-01,183.608,2006.0,11.0,55230.666666666664,193924100.0,5.25,179.8,6.6,202.0,80.099,28.604,67520.0,114384
2006-12-01,184.138,2006.0,12.0,55245.333333333336,194093200.0,5.24,179.8,6.5,203.1,80.099,28.604,67520.0,114384
2007-01-01,184.516,2007.0,1.0,55260.0,194822600.0,5.25,181.1,7.2,203.437,80.269,29.512,68610.0,116011
2007-02-01,184.598,2007.0,2.0,55331.333333333336,195054500.0,5.26,181.5,7.9,204.226,80.269,29.512,68610.0,116011
2007-03-01,184.15,2007.0,3.0,55402.666666666664,195156400.0,5.26,182.5,7.9,205.288,80.269,29.512,68610.0,116011
2007-04-01,183.01,2007.0,4.0,55474.0,195253900.0,5.25,183.7,7.4,205.904,80.269,29.512,68610.0,116011
2007-05-01,181.6,2007.0,5.0,55532.333333333336,195417400.0,5.25,184.0,7.8,206.755,80.269,29.512,68610.0,116011
2007-06-01,180.253,2007.0,6.0,55590.666666666664,195662900.0,5.25,184.0,8.2,207.234,80.269,29.512,68610.0,116011
2007-07-01,179.11,2007.0,7.0,55649.0,195834700.0,5.26,184.2,8.3,207.603,80.269,29.512,68610.0,116011
2007-08-01,178.116,2007.0,8.0,55718.333333333336,195970800.0,5.02,183.9,9.2,207.667,80.269,29.512,68610.0,116011
2007-09-01,177.55700000000002,2007.0,9.0,55787.666666666664,196064700.0,4.94,183.4,9.2,208.547,80.269,29.512,68610.0,116011
2007-10-01,176.623,2007.0,10.0,55857.0,196112600.0,4.76,183.0,8.5,209.19,80.269,29.512,68610.0,116011
2007-11-01,175.146,2007.0,11.0,55737.0,196172900.0,4.49,183.3,9.4,210.834,80.269,29.512,68610.0,116011
2007-12-01,174.34099999999998,2007.0,12.0,55617.0,196411200.0,4.24,183.5,9.6,211.445,80.269,29.512,68610.0,116011
2008-01-01,173.13099999999997,2008.0,1.0,55497.0,196060600.0,3.94,184.3,9.3,212.174,80.438,29.876,66280.0,116783
2008-02-01,171.53900000000002,2008.0,2.0,55566.333333333336,196238800.0,2.98,185.7,9.7,212.687,80.438,29.876,66280.0,116783
2008-03-01,170.05200000000002,2008.0,3.0,55635.666666666664,196376200.0,2.61,187.8,10.5,213.448,80.438,29.876,66280.0,116783
2008-04-01,168.33700000000002,2008.0,4.0,55705.0,196226800.0,2.28,190.9,10.3,213.942,80.438,29.876,66280.0,116783
2008-05-01,166.658,2008.0,5.0,55562.666666666664,196451800.0,1.98,195.8,10.7,215.208,80.438,29.876,66280.0,116783
2008-06-01,165.016,2008.0,6.0,55420.333333333336,196512500.0,2.0,200.4,10.7,217.463,80.438,29.876,66280.0,116783
2008-07-01,163.564,2008.0,7.0,55278.0,196570000.0,2.01,203.4,10.5,219.016,80.438,29.876,66280.0,116783
2008-08-01,161.986,2008.0,8.0,54832.333333333336,196688200.0,2.0,206.5,11.3,218.69,80.438,29.876,66280.0,116783
2008-09-01,160.30700000000002,2008.0,9.0,54386.666666666664,196838600.0,1.81,206.3,10.9,218.877,80.438,29.876,66280.0,116783
2008-10-01,158.326,2008.0,10.0,53941.0,196975300.0,0.97,201.8,11.6,216.995,80.438,29.876,66280.0,116783
2008-11-01,156.141,2008.0,11.0,53701.0,197131300.0,0.39,199.6,11.4,213.153,80.438,29.876,66280.0,116783
2008-12-01,153.618,2008.0,12.0,53461.0,197421900.0,0.16,194.8,11.2,211.398,80.438,29.876,66280.0,116783
2009-01-01,151.506,2009.0,1.0,53221.0,197061200.0,0.15,193.3,12.2,211.933,80.606,32.883,65850.0,117181
2009-02-01,150.014,2009.0,2.0,53153.0,197289800.0,0.22,191.2,10.5,212.705,80.606,32.883,65850.0,117181
2009-03-01,148.659,2009.0,3.0,53085.0,197534500.0,0.18,190.2,11.0,212.495,80.606,32.883,65850.0,117181
2009-04-01,147.947,2009.0,4.0,53017.0,197857400.0,0.15,188.1,10.7,212.709,80.606,32.883,65850.0,117181
2009-05-01,147.69299999999998,2009.0,5.0,53038.333333333336,197951500.0,0.18,186.9,9.3,213.022,80.606,32.883,65850.0,117181
2009-06-01,148.088,2009.0,6.0,53059.666666666664,197605500.0,0.21,187.1,8.5,214.79,80.606,32.883,65850.0,117181
2009-07-01,148.408,2009.0,7.0,53081.0,197704000.0,0.16,187.6,7.9,214.726,80.606,32.883,65850.0,117181
2009-08-01,148.27700000000002,2009.0,8.0,53231.0,198047200.0,0.16,188.1,7.5,215.445,80.606,32.883,65850.0,117181
2009-09-01,148.024,2009.0,9.0,53381.0,198371800.0,0.15,189.3,7.8,215.861,80.606,32.883,65850.0,117181
2009-10-01,147.85,2009.0,10.0,53531.0,198663700.0,0.12,189.7,7.4,216.509,80.606,32.883,65850.0,117181
2009-11-01,148.136,2009.0,11.0,53581.666666666664,198712500.0,0.12,189.2,7.6,217.234,80.606,32.883,65850.0,117181
2009-12-01,147.93,2009.0,12.0,53632.333333333336,198771900.0,0.12,189.4,8.0,217.347,80.606,32.883,65850.0,117181
2010-01-01,147.39600000000002,2010.0,1.0,53683.0,198248000.0,0.11,190.3,8.1,217.488,80.772,32.669,64300.0,117538
2010-02-01,145.631,2010.0,2.0,53822.0,198435800.0,0.13,192.2,8.3,217.281,80.772,32.669,64300.0,117538
2010-03-01,145.858,2010.0,3.0,53961.0,198658000.0,0.16,193.7,7.1,217.353,80.772,32.669,64300.0,117538
2010-04-01,146.401,2010.0,4.0,54100.0,198999400.0,0.2,196.5,6.2,217.403,80.772,32.669,64300.0,117538
2010-05-01,146.392,2010.0,5.0,54200.333333333336,199085800.0,0.2,198.9,9.3,217.29,80.772,32.669,64300.0,117538
2010-06-01,145.719,2010.0,6.0,54300.666666666664,198930800.0,0.18,197.2,8.3,217.199,80.772,32.669,64300.0,117538
2010-07-01,144.987,2010.0,7.0,54401.0,199011400.0,0.18,195.6,8.9,217.605,80.772,32.669,64300.0,117538
2010-08-01,143.912,2010.0,8.0,54457.0,199217700.0,0.19,194.1,8.8,217.923,80.772,32.669,64300.0,117538
2010-09-01,143.015,2010.0,9.0,54513.0,199523400.0,0.19,193.9,7.6,218.275,80.772,32.669,64300.0,117538
2010-10-01,142.526,2010.0,10.0,54569.0,199858800.0,0.19,193.8,8.2,219.035,80.772,32.669,64300.0,117538
2010-11-01,142.167,2010.0,11.0,54493.0,199984900.0,0.19,193.6,8.2,219.59,80.772,32.669,64300.0,117538
2010-12-01,142.054,2010.0,12.0,54417.0,200025500.0,0.18,194.2,7.0,220.472,80.772,32.669,64300.0,117538
2011-01-01,141.516,2011.0,1.0,54341.0,199137400.0,0.17,195.9,7.3,221.187,80.944,34.23,63350.0,119927
2011-02-01,140.343,2011.0,2.0,54430.666666666664,199349700.0,0.16,198.1,8.1,221.898,80.944,34.23,63350.0,119927
2011-03-01,139.975,2011.0,3.0,54520.333333333336,199557800.0,0.14,199.7,7.2,223.046,80.944,34.23,63350.0,119927
2011-04-01,140.007,2011.0,4.0,54610.0,199940400.0,0.1,201.1,6.7,224.093,80.944,34.23,63350.0,119927
2011-05-01,139.903,2011.0,5.0,54567.333333333336,200041900.0,0.09,201.6,6.6,224.806,80.944,34.23,63350.0,119927
2011-06-01,139.86,2011.0,6.0,54524.666666666664,199988200.0,0.09,201.9,6.6,224.806,80.944,34.23,63350.0,119927
